,,cl,cl,cl,cl
,,mean,std,min,max
start,start,,,,
2005,4,57.0,,57.0,57.0
2005,5,44.666666666666664,47.12041312778713,15.0,99.0
2005,6,40.4,46.80064102125098,6.0,110.0
2005,7,19.0,,19.0,19.0
2005,8,6.75,3.593976442141304,4.0,12.0
2005,9,9.25,3.8622100754188224,4.0,13.0
2005,10,3.0,,3.0,3.0
2006,5,111.0,,111.0,111.0
2006,6,24.0,21.213203435596427,9.0,39.0
2006,7,11.0,0.0,11.0,11.0
2006,8,19.5,16.263455967290593,8.0,31.0
2006,9,7.0,,7.0,7.0
2007,3,47.0,,47.0,47.0
2007,7,12.0,0.0,12.0,12.0
2007,8,13.571428571428571,7.7213371652225895,8.0,26.0
2007,9,5.25,2.217355782608345,3.0,8.0
2007,10,14.333333333333334,4.725815626252608,9.0,18.0
2008,4,28.0,20.223748416156685,13.0,51.0
2008,5,13.0,,13.0,13.0
2008,6,9.0,,9.0,9.0
2008,7,14.0,4.58257569495584,10.0,19.0
2008,8,7.0,5.656854249492381,3.0,11.0
2008,9,14.75,6.898067362191626,6.0,22.0
2008,10,15.0,0.0,15.0,15.0
2008,11,26.0,,26.0,26.0
2009,3,30.0,,30.0,30.0
2009,6,17.6,7.3688533707762165,11.0,27.0
2009,7,12.25,9.742518497116988,4.0,26.0
2009,8,13.25,4.7871355387816905,9.0,20.0
2009,10,21.75,14.0089257261219,7.0,40.0
2010,3,115.0,,115.0,115.0
2010,5,21.5,12.25969004502153,7.0,43.0
2010,6,11.6,8.734987120768983,3.0,26.0
2010,7,11.666666666666666,10.598742063723098,2.0,23.0
2010,8,6.666666666666667,1.1547005383792517,6.0,8.0
2010,9,12.0,4.320493798938574,8.0,18.0
2010,10,24.0,,24.0,24.0
2011,3,25.0,,25.0,25.0
2011,4,9.0,,9.0,9.0
2011,5,26.0,,26.0,26.0
2011,6,20.0,,20.0,20.0
2011,7,58.5,72.8319984622144,7.0,110.0
2012,3,87.6,,87.6,87.6
2012,4,19.65,1.0606601717798212,18.9,20.4
2012,5,11.14,4.765815774870027,4.6,16.7
2012,6,10.149999999999999,2.757716446627535,8.2,12.1
2012,7,10.214285714285714,5.048243447453967,2.6,15.6
2012,8,8.9,,8.9,8.9
2012,10,106.5,2.1213203435596424,105.0,108.0
2013,4,90.7,,90.7,90.7
2013,5,52.55,64.41742776609448,7.0,98.1
2013,6,10.683333333333332,7.213713791568575,5.6,25.2
2013,7,7.3,,7.3,7.3
2013,8,14.433333333333332,5.132575701666107,9.0,19.2
2013,9,19.599999999999998,5.8660037504249845,14.0,25.7
2013,10,17.05,15.485638507985392,6.1,28.0
2014,3,55.3,,55.3,55.3
2014,4,13.350000000000001,7.424621202458751,8.1,18.6
2014,5,5.85,2.4748737341529163,4.1,7.6
2014,7,33.1,,33.1,33.1
2014,8,13.65,7.2821700062550025,5.3,23.0
2014,9,20.2,,20.2,20.2
2014,10,15.85,0.21213203435596475,15.7,16.0
2015,3,344.8,,344.8,344.8
2015,4,58.70000000000001,35.63607722519413,33.1,99.4
2015,5,21.916666666666668,11.360883181631024,9.8,37.0
2015,6,9.783333333333333,2.256915298957111,6.9,12.7
2015,7,7.025,1.6520189667999174,5.3,9.1
2015,8,8.925,2.4513601666557823,6.8,12.1
2015,9,10.8,11.313708498984761,2.8,18.8
2015,10,20.366666666666667,5.02924779001128,16.7,26.1
2015,11,5.75,1.3435028842544405,4.8,6.7
2016,4,22.8,6.729041536504289,13.4,29.4
2016,5,34.8,,34.8,34.8
2016,6,12.8,0.0,12.8,12.8
2016,8,5.45,0.3535533905932738,5.2,5.7
2016,9,10.766666666666666,3.9374272480051404,8.2,15.3
2019,10,20.4,,20.4,20.4
2019,11,71.0,,71.0,71.0
2021,3,476.75,625.4359479595013,34.5,919.0
2021,5,15.733333333333334,4.0698075302566,11.3,19.3
2021,7,22.0,,22.0,22.0
2021,8,8.35,3.3521137609971814,5.0,13.0
